status,prev_rev_yoy,symbol,eps,name,prev_eps,prev_year,expansion,price,eps_yoy,gm,rev_yoy,advice,om,pe,est_price,date,prev_eps_yoy
🚀 利潤擴張,-3.19,4973.TWO,7.46,廣穎,2.11,2025,23630.65,134.0,24500.0,N/A,869.35,✅ 穩健價值,N/A,15.349369988545245,130.95000000000002,2026-03,16.48
🏰 高護城河,-3.05,3669.TW,0.7,圓展,1.13,2025,6801.67,32.25,6900.0,56.66%,98.33,⚪ 中性觀察,7.42%,19.196428571428573,25.199999999999996,2026-03,-44.61
🚀 利潤擴張,50.65,6209.TW,0.81,今國光,0.92,2025,6668.8,79.9000015259,7900.0,N/A,1231.2,⚠️ 追價風險,N/A,34.43965583012931,34.8,2026-03,222.67
🏰 高護城河,26.61,3054.TW,1.41,立萬利,1.96,2025,4621.74,58.4000015259,7150.0,62.07%,2528.26,✅ 穩健價值,-188.65%,14.491315515111662,60.45,2026-03,590.0
🚀 利潤擴張,-6.18,1810.TW,3.64,和成,0.05,2025,3859.43,23.9500007629,4133.33,N/A,273.9,💎 強力關注,N/A,6.420911732680965,55.95,2026-03,-73.68
🔄 轉虧為盈,-12.31,1301.TW,0.51,台塑,-1.58,2025,3393.55,64.0999984741,5000.0,2.38%,1606.45,⚪ 數據不足,-5.76%,0.0,-48.45,2026-03,-731.58
🚀 利潤擴張,3.99,4924.TWO,0.35,欣厚-KY,0.38,2025,2925.59,16.1000003815,3400.0,27.32%,474.41,⚪ 中性觀察,0.43%,19.634146806707314,12.3,2026-03,660.0
🚀 利潤擴張,9.79,8042.TWO,2.17,金山電,0.89,2025,2635.64,114.0,3200.0,N/A,564.36,⚠️ 追價風險,N/A,35.18518518518519,48.599999999999994,2026-03,48.33
🏰 高護城河,3.92,2855.TW,1.43,統一證,3.0,2025,2554.2799999999997,57.7999992371,2960.0,82.96%,405.72,💎 強力關注,34.40%,8.989113411679627,96.44999999999999,2026-03,0.0
🚀 利潤擴張,-4.69,3105.TWO,1.26,穩懋,4.0,2025,2382.95,502.0,3050.0,31.80%,667.05,⚠️ 追價風險,13.87%,85.51959114139693,88.05,2026-03,120.99
🚀 利潤擴張,12.31,1419.TW,9.37,新紡,4.11,2025,2337.34,66.0,2733.33,27.15%,395.99,💎 強力關注,10.89%,3.6124794745484397,274.05000000000007,2026-03,41.38
🚀 利潤擴張,10.09,2486.TW,0.29,一詮,0.22,2025,2173.63,234.0,2900.0,15.86%,726.37,⚠️ 追價風險,1.35%,383.6065573770491,9.150000000000002,2026-03,175.0
🚀 利潤擴張,13.61,2380.TW,0.4,虹光,0.72,2025,1694.01,16.7999992371,1900.0,24.41%,205.99,💎 強力關注,0.24%,7.241378981508619,34.800000000000004,2026-03,110.31
🚀 利潤擴張,-5.25,3016.TW,0.35,嘉晶,0.07,2025,1630.13,160.0,3400.0,11.81%,1769.87,⚠️ 追價風險,4.89%,842.105263157895,2.849999999999999,2026-03,-92.39
🚀 利潤擴張,0.12,1303.TW,1.8,南亞,0.57,2025,1516.21,238.0,2900.0,9.25%,1383.79,⚠️ 追價風險,2.06%,127.95698924731181,27.900000000000006,2026-03,35.71
🚀 利潤擴張,-14.09,2399.TW,1.48,映泰,0.15,2025,1335.3100000000002,47.2999992371,2366.67,8.40%,1031.36,⚠️ 追價風險,-12.67%,38.14516067508065,18.599999999999998,2026-03,275.0
🚀 利潤擴張,-4.5,4711.TWO,0.23,永純,0.15,2025,1225.03,16.3500003815,2200.0,14.61%,974.97,⚠️ 追價風險,2.47%,32.05882427745098,7.65,2026-03,50.0
🚀 利潤擴張,-0.24,1718.TW,0.17,中纖,0.09,2025,1157.6399999999999,10.5,1300.0,41.46%,142.36,⚠️ 追價風險,18.72%,25.609756097560975,6.15,2026-03,250.0
🏰 高護城河,49.68,3219.TWO,0.48,倚強科,1.52,2025,1154.09,114.5,1275.0,69.49%,120.91,⚠️ 追價風險,-15.39%,25.444444444444443,67.5,2026-03,406.67
🚀 利潤擴張,9.81,5291.TWO,0.17,邑昇,0.31,2025,1063.6100000000001,57.2999992371,1600.0,N/A,536.39,⚠️ 追價風險,N/A,77.4324314014865,11.1,2026-03,-17.95
🏰 高護城河,4.27,3025.TW,0.6,星通,3.45,2025,982.33,52.4000015259,1100.0,68.55%,117.67,💎 強力關注,43.45%,10.019120750650098,78.44999999999999,2026-03,-6.25
